run_id,iter,time_this_iter_s,time_total_s,delta_env_steps,cum_env_steps,episodes_this_iter,throughput_steps_per_s,train_episode_return_mean,train_episode_return_min,train_episode_return_max,train_episode_len_mean,train_episode_len_min,train_episode_len_max,train_return_archer_0,train_return_mean_all_agents,total_loss,policy_loss,vf_loss,entropy,mean_kl,curr_kl_coeff,curr_entropy_coeff,vf_explained_var,grad_norm,lr,module_train_batch_size_mean,num_trainable_parameters,num_module_steps_trained,num_module_steps_trained_lifetime,weights_seq_no,cpu_util_percent,ram_util_percent
ppo_kaz_2025-08-31_11-06-06_seed111,0,6.888617277145386,6.888617277145386,512,1280,2.0,74.32551111507978,4.749999999999999,1.0,6.0,209.75,167,224,4.749999999999999,4.749999999999999,0.18785189,0.11312102,0.08993563,1.7771074,0.012831441,0.20000000298023224,0.01,0.48481405,0.35311037,0.0001,128.0,146695,15616,15616,1.0,64.32000000000001,90.98
ppo_kaz_2025-08-31_11-06-06_seed111,1,6.364592552185059,13.253209829330444,512,1792,3.0,80.44505532788942,2.75,1.0,6.0,186.875,164,224,2.75,2.75,0.0032145132,-0.056645304,0.07291537,1.7389661,0.021670511,0.30000001192092896,0.01,0.7670739,0.5450775,0.0001,128.0,146695,15616,31232,2.0,70.02222222222223,91.47777777777777
ppo_kaz_2025-08-31_11-06-06_seed111,2,6.691003322601318,19.944213151931763,512,2304,3.0,76.52066144856515,2.2142857142857144,1.0,6.0,179.0,112,224,2.2142857142857144,2.2142857142857144,0.014330449,-0.06574824,0.09284727,1.7364007,0.01531803,0.30000001192092896,0.01,0.67800045,0.23591617,0.0001,128.0,146695,15616,46848,3.0,71.26,90.3
ppo_kaz_2025-08-31_11-06-06_seed111,3,6.790228843688965,26.734441995620728,512,2816,3.0,75.40246607091419,2.5641025641025643,1.0,6.0,178.66666666666666,112,224,2.5641025641025643,2.5641025641025643,0.14618456,0.013329052,0.1435987,1.7325705,0.021941587,0.45000001788139343,0.01,0.5556846,0.42437798,0.0001,128.0,146695,15616,62464,4.0,68.06666666666666,86.83333333333333
ppo_kaz_2025-08-31_11-06-06_seed111,4,15.909025192260742,42.64346718788147,512,3328,3.0,32.18299008345731,2.549019607843137,1.0,6.0,178.6078431372549,112,224,2.549019607843137,2.549019607843137,-0.14460474,-0.2364232,0.10420107,1.7290167,0.010905622,0.45000001788139343,0.01,0.48583436,0.4580001,0.0001,128.0,146695,15616,78080,5.0,59.69545454545453,85.7909090909091
ppo_kaz_2025-08-31_11-06-06_seed111,5,5.3701560497283936,48.01362323760986,512,3840,3.0,95.3417359307269,2.296875,0.0,6.0,175.0,112,224,2.296875,2.296875,-0.029262051,-0.066318326,0.047437172,1.7106991,0.014946849,0.45000001788139343,0.01,0.5750688,0.3417188,0.0001,128.0,146695,15616,93696,6.0,54.5625,86.025
ppo_kaz_2025-08-31_11-06-06_seed111,6,8.901283025741577,56.91490626335144,512,4352,4.0,57.519797822330744,2.1794871794871793,0.0,6.0,171.5,112,224,2.1794871794871793,2.1794871794871793,0.087282345,0.009763372,0.09022415,1.71373,0.009849147,0.45000001788139343,0.01,0.30382568,0.23226885,0.0001,128.0,146695,15616,109312,7.0,83.23846153846154,88.41538461538462
ppo_kaz_2025-08-31_11-06-06_seed111,7,10.301517009735107,67.21642327308655,512,4864,3.0,49.701417715094905,2.077777777777778,0.0,6.0,170.7111111111111,96,244,2.077777777777778,2.077777777777778,0.110009596,0.06318346,0.05743463,1.7222483,0.014697743,0.45000001788139343,0.01,0.6339129,0.29986316,0.0001,128.0,146695,15616,124928,8.0,74.9,91.37692307692308
ppo_kaz_2025-08-31_11-06-06_seed111,8,7.588869094848633,74.80529236793518,512,5376,3.0,67.46723307528767,1.95,0.0,6.0,168.0,87,244,1.95,1.95,-0.05899909,-0.11330212,0.06458364,1.6986228,0.014901329,0.45000001788139343,0.01,0.7868361,0.5232362,0.0001,128.0,146695,15616,140544,9.0,62.654545454545456,90.67272727272727
ppo_kaz_2025-08-31_11-06-06_seed111,9,16.47522783279419,91.28052020072937,512,5888,3.0,31.076960221506393,1.95,0.0,5.0,165.63,87,244,1.95,1.95,0.0806478,-0.0066998303,0.09838691,1.6726173,0.01263755,0.45000001788139343,0.01,0.62928104,0.35960084,0.0001,128.0,146695,15616,156160,10.0,60.88695652173914,88.90434782608696
ppo_kaz_2025-08-31_11-06-06_seed111,10,5.826280117034912,97.10680031776428,512,6400,3.0,87.87768348161143,2.09,0.0,5.0,163.65,87,244,2.09,2.09,0.07360856,-0.03899246,0.12511905,1.6822917,0.009566443,0.45000001788139343,0.01,0.5552973,0.26054254,0.0001,128.0,146695,15616,171776,11.0,60.2125,87.41250000000001
ppo_kaz_2025-08-31_11-06-06_seed111,11,6.534141778945923,103.6409420967102,512,6912,3.0,78.35765083178147,1.9,0.0,5.0,163.5,87,244,1.9,1.9,0.15586706,0.06252623,0.10374947,1.6075993,0.012594048,0.45000001788139343,0.01,0.48134172,0.49598157,0.0001,128.0,146695,15616,187392,12.0,65.8777777777778,87.5
ppo_kaz_2025-08-31_11-06-06_seed111,12,6.167520046234131,109.80846214294434,512,7424,2.0,83.01553884897798,1.82,0.0,4.0,163.84,87,244,1.82,1.82,0.11196092,0.012503545,0.11031918,1.612083,0.011686742,0.45000001788139343,0.01,0.5699829,0.2939679,0.0001,128.0,146695,15616,203008,13.0,55.422222222222224,87.34444444444443
ppo_kaz_2025-08-31_11-06-06_seed111,13,6.2931084632873535,116.10157060623169,512,7936,3.0,81.3588392742471,2.03,0.0,5.0,168.54,87,244,2.03,2.03,0.031140689,-0.059972316,0.102485485,1.6424296,0.011226264,0.45000001788139343,0.01,0.48860323,0.35171798,0.0001,128.0,146695,15616,218624,14.0,62.32222222222222,87.51111111111112
ppo_kaz_2025-08-31_11-06-06_seed111,14,17.494487762451172,133.59605836868286,512,8448,3.0,29.26636132204554,2.19,0.0,5.0,172.56,87,244,2.19,2.19,-0.15881623,-0.20003337,0.05165671,1.6122816,0.0126293935,0.45000001788139343,0.01,0.48543298,0.3808815,0.0001,128.0,146695,15616,234240,15.0,58.287499999999994,87.5125
ppo_kaz_2025-08-31_11-06-06_seed111,15,7.7920544147491455,141.388112783432,512,8960,1,65.70796002538994,2.42,0.0,11.0,180.22,87,376,2.42,2.42,0.20746155,-0.13711296,0.35725814,1.628512,0.008003324,0.45000001788139343,0.01,0.4252869,0.5756201,0.0001,128.0,146695,15616,249856,16.0,70.69090909090909,87.83636363636363
ppo_kaz_2025-08-31_11-06-06_seed111,16,6.947376012802124,148.33548879623413,512,9472,3.0,73.69688916455986,2.7,0.0,11.0,184.56,87,376,2.7,2.7,-0.12178932,-0.15593322,0.04518828,1.5926987,0.010850195,0.45000001788139343,0.01,0.61566514,0.37669548,0.0001,128.0,146695,15616,265472,17.0,73.99,90.58999999999999
ppo_kaz_2025-08-31_11-06-06_seed111,17,5.322564125061035,153.65805292129517,512,9984,3.0,96.1942379593461,2.65,0.0,11.0,186.28,87,376,2.65,2.65,-0.021452978,-0.045253016,0.03441091,1.6297656,0.012637255,0.45000001788139343,0.01,0.78002346,0.4188055,0.0001,128.0,146695,15616,281088,18.0,49.32857142857142,90.35714285714286
ppo_kaz_2025-08-31_11-06-06_seed111,18,4.9423229694366455,158.6003758907318,512,10496,3.0,103.59501051756655,2.67,0.0,11.0,189.91,123,376,2.67,2.67,0.073671944,-0.07581438,0.162542,1.6727004,0.008158504,0.45000001788139343,0.01,0.31382972,0.44304103,0.0001,128.0,146695,15616,296704,19.0,47.028571428571425,90.24285714285713
ppo_kaz_2025-08-31_11-06-06_seed111,19,14.581351518630981,173.1817274093628,512,11008,3.0,35.11334318672751,2.61,0.0,11.0,192.24,147,376,2.61,2.61,0.14695032,0.09808622,0.060306944,1.5468981,0.008946941,0.45000001788139343,0.01,0.4055658,0.32689485,0.0001,128.0,146695,15616,312320,20.0,52.98095238095239,90.34285714285713
ppo_kaz_2025-08-31_11-06-06_seed111,20,5.8490002155303955,179.0307276248932,512,11520,3.0,87.53632777111655,2.52,0.0,11.0,193.38,147,376,2.52,2.52,0.060291998,-0.027386002,0.09941416,1.6498251,0.010582411,0.45000001788139343,0.01,0.6241034,0.6225309,0.0001,128.0,146695,15616,327936,21.0,59.975,90.4
ppo_kaz_2025-08-31_11-06-06_seed111,21,5.214493274688721,184.2452208995819,512,12032,2.0,98.18787234519232,2.53,0.0,11.0,193.62,147,376,2.53,2.53,-0.045157664,-0.14526847,0.11070453,1.6142262,0.012330157,0.45000001788139343,0.01,0.5640162,0.2979587,0.0001,128.0,146695,15616,343552,22.0,48.85,90.42500000000001
ppo_kaz_2025-08-31_11-06-06_seed111,22,5.14572811126709,189.390949010849,512,12544,3.0,99.50001028599324,2.61,0.0,11.0,194.2,147,376,2.61,2.61,0.10419582,0.014542912,0.10126226,1.5592219,0.00885086,0.45000001788139343,0.01,0.5409361,0.28170693,0.0001,128.0,146695,15616,359168,23.0,41.971428571428575,90.41428571428571
ppo_kaz_2025-08-31_11-06-06_seed111,23,4.684687614440918,194.07563662528992,512,13056,3.0,109.29223934200431,2.5,0.0,11.0,190.92,147,376,2.5,2.5,-0.12955768,-0.16853419,0.047843467,1.5803629,0.015414836,0.45000001788139343,0.01,0.63817763,0.37290484,0.0001,128.0,146695,15616,374784,24.0,49.699999999999996,90.4
ppo_kaz_2025-08-31_11-06-06_seed111,24,15.704102993011475,209.7797396183014,512,13568,3.0,32.602944608033106,1.97,0.0,11.0,180.36,147,376,1.97,1.97,-0.054746203,-0.1092354,0.06453071,1.5650035,0.012463409,0.45000001788139343,0.01,0.44683862,0.4419118,0.0001,128.0,146695,15616,390400,25.0,56.5409090909091,90.64090909090909
ppo_kaz_2025-08-31_11-06-06_seed111,25,5.992986679077148,215.77272629737854,512,14080,3.0,85.43319506908067,1.91,0.0,6.0,179.24,147,244,1.91,1.91,0.10578798,-0.022683648,0.13974234,1.5526319,0.009456899,0.45000001788139343,0.01,0.4394065,0.3227962,0.0001,128.0,146695,15616,406016,26.0,55.0125,90.45
ppo_kaz_2025-08-31_11-06-06_seed111,26,5.912033796310425,221.68476009368896,512,14592,2.0,86.60302319643849,2.18,0.0,6.0,183.04,147,244,2.18,2.18,0.15947002,-0.04282215,0.20889942,1.5513891,0.019792529,0.45000001788139343,0.01,0.4695608,0.5081513,0.0001,128.0,146695,15616,421632,27.0,54.48888888888889,90.92222222222223
ppo_kaz_2025-08-31_11-06-06_seed111,27,6.3232269287109375,228.0079870223999,512,15104,3.0,80.9713150852198,2.29,0.0,6.0,182.55,147,244,2.29,2.29,0.17827508,-0.03185665,0.22078292,1.5568131,0.010926565,0.45000001788139343,0.01,0.34212232,0.36349046,0.0001,128.0,146695,15616,437248,28.0,58.77777777777778,91.5888888888889
ppo_kaz_2025-08-31_11-06-06_seed111,28,7.769751787185669,235.77773880958557,512,15616,3.0,65.89657096181894,2.48,0.0,6.0,184.48,164,244,2.48,2.48,0.001413438,-0.066648744,0.0792417,1.5700604,0.010046854,0.45000001788139343,0.01,0.74142194,0.47580683,0.0001,128.0,146695,15616,452864,29.0,74.78,91.33
ppo_kaz_2025-08-31_11-06-06_seed111,29,20.30792260169983,256.0856614112854,512,16128,3.0,25.211835303978567,2.5,0.0,6.0,185.27,164,244,2.5,2.5,0.1251867,0.056981698,0.07818266,1.5795089,0.012927652,0.45000001788139343,0.01,0.5989336,0.43395188,0.0001,128.0,146695,15616,468480,30.0,79.45357142857142,94.8714285714286
ppo_kaz_2025-08-31_11-06-06_seed111,30,7.2022809982299805,263.2879424095154,512,16640,2.0,71.08858986838034,2.56,0.0,6.0,185.4,164,244,2.56,2.56,0.117399625,0.012143659,0.11494741,1.5505967,0.012921183,0.45000001788139343,0.01,0.5589931,0.54050297,0.0001,128.0,146695,15616,484096,31.0,72.05000000000001,95.91000000000001
ppo_kaz_2025-08-31_11-06-06_seed111,31,6.894737243652344,270.1826796531677,512,17152,3.0,74.25953765988312,2.5,0.0,6.0,183.26,164,244,2.5,2.5,-0.07141911,-0.1607613,0.099432394,1.5042921,0.011006017,0.45000001788139343,0.01,0.64656985,0.44839817,0.0001,128.0,146695,15616,499712,32.0,68.33000000000001,95.4
ppo_kaz_2025-08-31_11-06-06_seed111,32,7.716946363449097,277.8996260166168,512,17664,3.0,66.34748719066658,2.5,0.0,6.0,184.48,164,244,2.5,2.5,-0.052332133,-0.12629783,0.083149835,1.4864874,0.01262392,0.45000001788139343,0.01,0.60640013,0.36994576,0.0001,128.0,146695,15616,515328,33.0,77.80909090909091,95.56363636363636
ppo_kaz_2025-08-31_11-06-06_seed111,33,9.080658912658691,286.9802849292755,512,18176,2.0,56.383573584760214,2.69,0.0,13.0,187.08,164,404,2.69,2.69,0.20162535,-0.10112776,0.3133674,1.5372175,0.01057318,0.45000001788139343,0.01,0.3316273,0.44047633,0.0001,128.0,146695,15616,530944,34.0,81.20833333333333,95.80000000000001
ppo_kaz_2025-08-31_11-06-06_seed111,34,28.87521266937256,315.85549759864807,512,18688,3.0,17.73147113624793,3.09,1.0,13.0,195.08,164,404,3.09,3.09,0.059501674,-0.11211668,0.17977688,1.413249,0.01327548,0.45000001788139343,0.01,0.38274568,0.45409018,0.0001,128.0,146695,15616,546560,35.0,82.28974358974358,95.04102564102564
ppo_kaz_2025-08-31_11-06-06_seed111,35,8.525257349014282,324.38075494766235,512,19200,3.0,60.05683805653082,2.87,1.0,13.0,191.66,164,404,2.87,2.87,0.11463229,0.06751292,0.056598112,1.4208905,0.0105115315,0.45000001788139343,0.01,0.54015744,0.47784477,0.0001,128.0,146695,15616,562176,36.0,85.44166666666668,90.41666666666667
